x,y,z
-43.6, 2.2, 105.5 
-43.6, 2.2, 105.5 
-43.6, 2.2, 105.5 
-43.6, 1.7, 105.5 
-43.6, 1.7, 105.5 
-43.8, 1.7, 105.4 
-43.8, 1.7, 105.4 
-43.8, 1.7, 105.4 
-44.0, 1.7, 105.2 
-44.3, 1.7, 105.0 
-44.3, 1.7, 105.0 
-44.6, 1.7, 104.8 
-44.9, 1.7, 104.6 
-44.9, 1.7, 104.6 
-45.4, 1.7, 104.3 
-45.8, 1.7, 104.0 
-45.8, 1.7, 104.0 
-46.3, 1.7, 103.7 
-46.3, 1.7, 103.7 
-46.9, 1.7, 103.3 
-47.4, 1.7, 102.9 
-47.4, 1.7, 102.9 
-48.2, 1.7, 102.4 
-48.2, 1.7, 102.4 
-49.0, 1.7, 101.9 
-49.6, 1.7, 101.5 
-49.6, 1.7, 101.5 
-50.4, 1.7, 101.0 
-50.4, 1.7, 101.0 
-51.2, 1.7, 100.4 
-51.9, 1.7, 100.0 
-51.9, 1.7, 100.0 
-52.7, 1.7, 99.4
-53.1, 1.7, 99.2
-53.7, 1.7, 98.8
-54.4, 1.7, 98.3
-54.9, 1.7, 98.0
-54.9, 1.7, 98.0
-55.8, 1.7, 97.4
-56.5, 1.7, 97.0
-56.5, 1.7, 97.0
-57.5, 1.7, 96.3
-57.5, 1.7, 96.3
-58.5, 1.7, 95.7
-58.5, 1.7, 95.7
-59.5, 1.7, 95.0
-59.5, 1.7, 95.0
-60.3, 1.7, 94.4
-60.9, 1.7, 94.0
-60.9, 1.7, 94.0
-61.9, 1.7, 93.3
-62.5, 1.7, 93.0
-62.5, 1.7, 93.0
-63.3, 1.7, 92.4
-63.3, 1.7, 92.4
-64.4, 1.7, 91.6
-64.4, 1.7, 91.6
-65.3, 1.7, 91.0
-66.0, 1.7, 90.5
-66.0, 1.7, 90.5
-66.8, 1.7, 89.9
-66.8, 1.7, 89.9
-67.7, 1.7, 89.3
-68.2, 1.7, 88.9
-68.9, 1.7, 88.4
-68.9, 1.7, 88.4
-69.8, 1.7, 87.8
-70.5, 1.7, 87.2
-70.5, 1.7, 87.2
-71.4, 1.7, 86.5
-71.4, 1.7, 86.5
-72.4, 1.7, 85.8
-72.9, 1.7, 85.4
-72.9, 1.7, 85.4
-73.7, 1.7, 84.7
-74.4, 1.7, 84.2
-74.4, 1.7, 84.2
-75.4, 1.7, 83.5
-75.4, 1.7, 83.5
-76.3, 1.7, 82.7
-76.3, 1.7, 82.7
-77.2, 1.7, 81.9
-77.2, 1.7, 81.9
-78.1, 1.7, 81.1
-78.6, 1.7, 80.7
-79.1, 1.7, 80.2
-79.1, 1.7, 80.2
-79.9, 1.7, 79.5
-80.4, 1.7, 79.0
-80.4, 1.7, 79.0
-81.2, 1.7, 78.3
-81.7, 1.7, 77.8
-82.2, 1.7, 77.3
-82.2, 1.7, 77.3
-83.0, 1.7, 76.5
-83.0, 1.7, 76.5
-83.8, 1.7, 75.8
-84.3, 1.7, 75.3
-84.3, 1.7, 75.3
-85.0, 1.7, 74.5
-85.7, 1.7, 73.8
-85.7, 1.7, 73.8
-86.5, 1.7, 73.0
-86.5, 1.7, 73.0
-87.2, 1.7, 72.3
-87.8, 1.7, 71.7
-87.8, 1.7, 71.7
-88.5, 1.7, 70.9
-89.1, 1.7, 70.3
-89.1, 1.7, 70.3
-89.8, 1.7, 69.6
-89.8, 1.7, 69.6
-90.8, 1.7, 68.6
