x,y,z
-43.6, 2.9, 105.5 
-43.6, 2.9, 105.5 
-43.6, 2.9, 105.5 
-43.6, 1.7, 105.5 
-43.6, 1.7, 105.5 
-43.7, 1.7, 105.4 
-43.7, 1.7, 105.4 
-43.7, 1.7, 105.4 
-44.0, 1.7, 105.2 
-44.1, 1.7, 105.2 
-44.3, 1.7, 105.1 
-44.5, 1.7, 105.0 
-44.6, 1.7, 104.8 
-44.9, 1.7, 104.7 
-45.2, 1.7, 104.5 
-45.4, 1.7, 104.4 
-46.0, 1.7, 104.0 
-46.0, 1.7, 104.0 
-46.9, 1.7, 103.5 
-46.9, 1.7, 103.5 
-47.6, 1.7, 103.1 
-47.9, 1.7, 102.9 
-48.4, 1.7, 102.7 
-48.9, 1.7, 102.4 
-49.5, 1.7, 102.1 
-49.5, 1.7, 102.1 
-50.3, 1.7, 101.7 
-50.3, 1.7, 101.7 
-51.7, 1.7, 100.9 
-51.7, 1.7, 100.9 
-51.7, 1.7, 100.9 
-52.8, 1.7, 100.2 
-53.2, 1.7, 99.9 
-53.8, 1.7, 99.6 
-54.2, 1.7, 99.3 
-54.9, 1.7, 98.8 
-55.3, 1.7, 98.5 
-55.9, 1.7, 98.1 
-56.4, 1.7, 97.7 
-57.0, 1.7, 97.3 
-57.0, 1.7, 97.3 
-57.7, 1.7, 96.8 
-58.3, 1.7, 96.2 
-58.7, 1.7, 95.9 
-59.2, 1.7, 95.5 
-59.8, 1.7, 95.0 
-60.4, 1.7, 94.4 
-60.4, 1.7, 94.4 
-61.1, 1.7, 93.9 
-61.6, 1.7, 93.4 
-61.6, 1.7, 93.4 
-62.4, 1.7, 92.7 
-62.7, 1.7, 92.4 
-63.3, 1.7, 91.9 
-63.7, 1.7, 91.6 
-64.2, 1.7, 91.1 
-64.7, 1.7, 90.7 
-65.2, 1.7, 90.2 
-65.2, 1.7, 90.2 
-65.9, 1.7, 89.7 
-66.4, 1.7, 89.3 
-67.1, 1.7, 88.7 
-67.7, 1.7, 88.3 
-68.2, 1.7, 87.9 
-68.7, 1.7, 87.5 
-69.3, 1.7, 87.0 
-69.3, 1.7, 87.0 
-70.0, 1.7, 86.5 
-70.5, 1.7, 86.1 
-71.0, 1.7, 85.8 
-71.7, 1.7, 85.3 
-72.1, 1.7, 85.0 
-72.5, 1.7, 84.7 
-73.0, 1.7, 84.3 
-73.6, 1.7, 83.8 
-74.1, 1.7, 83.4 
-74.7, 1.7, 83.0 
-74.7, 1.7, 83.0 
-75.3, 1.7, 82.4 
-75.9, 1.7, 82.0 
-76.3, 1.7, 81.7 
-76.7, 1.7, 81.3 
-77.2, 1.7, 80.9 
-77.6, 1.7, 80.5 
-78.1, 1.7, 80.1 
-78.6, 1.7, 79.6 
-79.1, 1.7, 79.1 
-79.5, 1.7, 78.8 
-80.1, 1.7, 78.2 
-80.1, 1.7, 78.2 
-80.7, 1.7, 77.6 
-81.4, 1.7, 77.0 
-81.4, 1.7, 77.0 
-81.9, 1.7, 76.5 
-82.3, 1.7, 76.1 
-82.9, 1.7, 75.5 
-83.3, 1.7, 75.2 
-83.8, 1.7, 74.7 
-84.3, 1.7, 74.2 
-84.8, 1.7, 73.8 
-85.2, 1.7, 73.4 
-85.8, 1.7, 72.8 
-85.8, 1.7, 72.8 
-86.5, 1.7, 72.3 
-87.1, 1.7, 71.7 
-87.7, 1.7, 71.2 
-87.7, 1.7, 71.2 
-88.3, 1.7, 70.6 
-88.8, 1.7, 70.2 
-89.2, 1.7, 69.8 
-89.7, 1.7, 69.4 
-89.7, 1.7, 69.4 
-90.5, 1.7, 68.7 
-91.0, 1.7, 68.2 
-91.6, 1.7, 67.8 
-91.9, 1.7, 67.4 
-92.5, 1.7, 66.9 
-93.0, 1.7, 66.5 
-93.0, 1.7, 66.5 
-93.7, 1.7, 65.8 
-94.2, 1.7, 65.3 
-94.7, 1.7, 64.8 
-95.2, 1.7, 64.3 
-95.5, 1.7, 64.1 
-96.0, 1.7, 63.6 
-96.5, 1.7, 63.1 
-96.8, 1.7, 62.7 
-97.3, 1.7, 62.2 
-97.8, 1.7, 61.7 
-98.2, 1.7, 61.4 
-98.7, 1.7, 60.9 
-99.2, 1.7, 60.4 
-99.5, 1.7, 60.0 
-100.0, 1.7, 59.5 
-100.0, 1.7, 59.5 
-100.6, 1.7, 58.9 
-101.1, 1.7, 58.4 
-101.6, 1.7, 57.9 
-102.1, 1.7, 57.4 
-102.6, 1.7, 56.9 
-103.1, 1.7, 56.4 
-103.1, 1.7, 56.4 
-103.8, 1.7, 55.6 
-104.3, 1.7, 55.1 
-104.8, 1.7, 54.6 
-104.8, 1.7, 54.6 
-105.4, 1.7, 54.0 
-105.7, 1.7, 53.6 
-106.2, 1.7, 53.1 
-106.6, 1.7, 52.7 
-107.1, 1.7, 52.2 
-107.6, 1.7, 51.7 
-107.9, 1.7, 51.4 
-108.4, 1.7, 50.9 
-108.9, 1.7, 50.3 
-109.3, 1.7, 50.0 
-109.8, 1.7, 49.5 
-110.2, 1.7, 49.0 
-110.7, 1.7, 48.5 
-110.7, 1.7, 48.5 
-111.3, 1.7, 47.8 
-111.8, 1.7, 47.3 
-112.3, 1.7, 46.8 
-112.8, 1.7, 46.3 
-112.8, 1.7, 46.3 
-113.5, 1.7, 45.5 
-113.9, 1.7, 45.0 
-114.3, 1.7, 44.6 
-114.9, 1.7, 44.0 
-115.2, 1.7, 43.6 
-115.2, 1.7, 43.6 
-115.9, 1.7, 42.8 
-116.4, 1.7, 42.3 
-116.9, 1.7, 41.8 
-117.3, 1.7, 41.2 
-119.2, 1.7, 39.0 
-119.2, 1.7, 39.0 
-119.2, 1.7, 39.0 
-120.2, 1.7, 37.9 
-120.5, 1.7, 37.5 
-121.1, 1.7, 36.9 
-121.4, 1.7, 36.5 
-121.8, 1.7, 35.9 
-122.4, 1.7, 35.3 
-122.4, 1.7, 35.3 
-123.1, 1.7, 34.5 
-123.5, 1.7, 33.9 
-123.9, 1.7, 33.5 
-124.2, 1.7, 33.1 
-124.8, 1.7, 32.5 
-125.1, 1.7, 32.1 
-125.4, 1.7, 31.7 
-125.9, 1.7, 31.1 
-126.2, 1.7, 30.7 
-126.6, 1.7, 30.3 
-127.1, 1.7, 29.7 
-127.6, 1.7, 29.1 
-127.9, 1.7, 28.7 
-128.8, 1.7, 27.7 
-128.8, 1.7, 27.7 
-130.7, 1.7, 25.4 
-130.7, 1.7, 25.4 
-130.7, 1.7, 25.4 
-132.5, 1.7, 23.2 
-132.5, 1.7, 23.2 
-132.5, 1.7, 23.2 
-133.3, 1.7, 22.1 
-133.9, 1.7, 21.4 
-134.4, 1.7, 20.7 
-134.4, 1.7, 20.7 
-135.1, 1.7, 19.9 
-135.6, 1.7, 19.2 
-135.6, 1.7, 19.2 
-136.2, 1.7, 18.3 
-136.6, 1.7, 17.8 
-136.6, 1.7, 17.8 
-137.3, 1.7, 16.9 
-137.8, 1.7, 16.2 
-138.2, 1.7, 15.6 
-138.6, 1.7, 15.0 
-138.6, 1.7, 15.0 
-139.2, 1.7, 14.2 
-139.6, 1.7, 13.6 
-140.0, 1.7, 13.0 
-140.0, 1.7, 13.0 
-140.6, 1.7, 12.2 
-141.1, 1.7, 11.4 
-141.1, 1.7, 11.4 
-141.6, 1.7, 10.7 
-142.1, 1.7, 10.0 
-142.4, 1.7, 9.6 
-142.8, 1.7, 9.0 
-142.8, 1.7, 9.0 
-143.3, 1.7, 8.1 
-143.7, 1.7, 7.5 
-144.1, 1.7, 6.9 
-144.1, 1.7, 6.9 
-144.7, 1.7, 6.1 
-145.1, 1.7, 5.5 
-145.1, 1.7, 5.5 
-145.7, 1.7, 4.6 
-146.1, 1.7, 4.0 
-146.5, 1.7, 3.4 
-146.9, 1.7, 2.9 
-147.8, 1.7, 1.5 
-148.2, 1.7, 0.9 
-148.5, 1.7, 0.5 
-149.0, 1.7, -0.2 
-149.4, 1.7, -0.8 
-149.4, 1.7, -0.8 
-149.9, 1.7, -1.7 
-150.2, 1.7, -2.1 
-150.6, 1.7, -2.7 
-151.2, 1.7, -3.6 
-151.2, 1.7, -3.6 
-151.7, 1.7, -4.5 
-151.7, 1.7, -4.5 
-152.2, 1.7, -5.3 
-152.6, 1.7, -6.0 
-153.0, 1.7, -6.6 
-153.0, 1.7, -6.6 
-153.5, 1.7, -7.6 
-154.0, 1.7, -8.5 
-154.0, 1.7, -8.5 
-154.6, 1.7, -9.4 
-154.9, 1.7, -10.0 
-154.9, 1.7, -10.0 
-155.3, 1.7, -10.8 
-155.7, 1.7, -11.4 
-156.0, 1.7, -12.0 
-156.4, 1.7, -12.6 
-156.7, 1.7, -13.2 
-157.1, 1.7, -14.0 
-157.1, 1.7, -14.0 
-157.5, 1.7, -14.8 
-158.0, 1.7, -15.6 
-158.0, 1.7, -15.6 
-158.4, 1.7, -16.3 
-158.7, 1.7, -17.0 
-159.0, 1.7, -17.6 
-159.4, 1.7, -18.2 
-159.4, 1.7, -18.2 
-159.8, 1.7, -19.1 
-160.2, 1.7, -19.8 
-160.5, 1.7, -20.4 
-160.8, 1.7, -21.0 
-160.8, 1.7, -21.0 
-161.3, 1.7, -22.0 
-161.5, 1.7, -22.4 
-161.9, 1.7, -23.2 
-161.9, 1.7, -23.2 
-162.3, 1.7, -24.0 
-162.6, 1.7, -24.6 
-162.9, 1.7, -25.2 
-163.2, 1.7, -25.9 
-163.2, 1.7, -25.9 
-163.7, 1.7, -26.8 
-164.1, 1.7, -27.6 
-164.4, 1.7, -28.2 
-164.4, 1.7, -28.2 
-164.8, 1.7, -29.2 
-165.2, 1.7, -30.0 
-165.2, 1.7, -30.0 
-165.6, 1.7, -31.0 
-165.9, 1.7, -31.6 
-166.2, 1.7, -32.3 
-166.2, 1.7, -32.3 
-166.5, 1.7, -33.1 
-166.8, 1.7, -33.7 
-167.1, 1.7, -34.4 
-167.4, 1.7, -35.2 
-167.4, 1.7, -35.2 
-167.8, 1.7, -36.2 
-168.0, 1.7, -36.7 
-168.2, 1.7, -37.3 
-168.5, 1.7, -38.0 
-168.5, 1.7, -38.0 
-168.9, 1.7, -39.1 
-169.1, 1.7, -39.6 
-169.4, 1.7, -40.3 
-169.6, 1.7, -40.9 
-169.8, 1.7, -41.6 
-169.8, 1.7, -41.6 
-170.2, 1.7, -42.6 
-170.4, 1.7, -43.3 
-170.6, 1.7, -43.9 
-170.8, 1.7, -44.6 
-170.8, 1.7, -44.6 
-171.1, 1.7, -45.3 
-171.3, 1.7, -46.1 
-171.5, 1.7, -46.8 
-171.8, 1.7, -47.4 
-171.8, 1.7, -47.4 
-172.0, 1.7, -48.3 
-172.3, 1.7, -49.1 
-172.5, 1.7, -49.8 
-172.5, 1.7, -49.8 
-172.7, 1.7, -50.6 
-172.9, 1.7, -51.5 
-173.1, 1.7, -52.0 
-173.3, 1.7, -52.7 
-173.4, 1.7, -53.2 
-173.5, 1.7, -53.7 
-173.7, 1.7, -54.5 
-173.9, 1.7, -55.1 
-173.9, 1.7, -55.1 
-174.1, 1.7, -56.1 
-174.3, 1.7, -56.8 
-174.3, 1.7, -56.8 
-174.6, 1.7, -58.0 
-174.6, 1.7, -58.0 
-174.8, 1.7, -59.0 
-174.9, 1.7, -59.5 
-175.1, 1.7, -60.2 
-175.2, 1.7, -60.9 
-175.4, 1.7, -61.6 
-175.5, 1.7, -62.3 
-175.7, 1.7, -63.1 
-175.9, 1.7, -63.8 
-175.9, 1.7, -63.8 
-176.1, 1.7, -64.7 
-176.2, 1.7, -65.5 
-176.4, 1.7, -66.2 
-176.5, 1.7, -66.9 
-176.6, 1.7, -67.8 
-176.6, 1.7, -67.8 
-176.8, 1.7, -68.8 
-176.9, 1.7, -69.5 
-177.0, 1.7, -70.1 
-177.1, 1.7, -70.8 
-177.1, 1.7, -71.5 
-177.2, 1.7, -72.2 
-177.3, 1.7, -72.9 
-177.4, 1.7, -73.6 
-177.4, 1.7, -74.3 
-177.5, 1.7, -75.0 
-177.5, 1.7, -75.7 
-177.5, 1.7, -75.7 
-177.6, 1.7, -76.6 
-177.6, 1.7, -77.4 
-177.7, 1.7, -78.1 
-177.7, 1.7, -78.9 
-177.7, 1.7, -79.6 
-177.7, 1.7, -80.3 
-177.7, 1.7, -81.0 
-177.7, 1.7, -81.7 
-177.7, 1.7, -82.4 
-177.7, 1.7, -82.9 
-177.7, 1.7, -83.6 
-177.7, 1.7, -84.2 
-177.7, 1.7, -84.9 
-177.7, 1.7, -85.4 
-177.7, 1.7, -86.1 
-177.6, 1.7, -87.0 
-177.6, 1.7, -87.7 
-177.6, 1.7, -88.4 
-177.5, 1.7, -89.1 
-177.5, 1.7, -89.8 
-177.4, 1.7, -90.5 
-177.3, 1.7, -91.3 
-177.3, 1.7, -92.1 
-177.2, 1.7, -93.0 
-177.1, 1.7, -93.7 
-177.0, 1.7, -94.4 
-176.9, 1.7, -95.1 
-176.8, 1.7, -95.8 
-176.7, 1.7, -96.7 
-176.6, 1.7, -97.4 
-176.4, 1.7, -98.1 
-176.4, 1.7, -98.1 
-176.3, 1.7, -99.0 
-176.1, 1.7, -99.9 
-175.9, 1.7, -100.5 
-175.8, 1.7, -101.2 
-175.8, 1.7, -101.2 
-175.5, 1.7, -102.3 
-175.4, 1.7, -102.9 
-175.2, 1.7, -103.6 
-175.0, 1.7, -104.3 
-174.8, 1.7, -105.0 
-174.6, 1.7, -105.7 
-174.2, 1.7, -106.8 
-174.2, 1.7, -106.8 
-173.9, 1.7, -107.8 
-173.9, 1.7, -107.8 
-173.5, 1.7, -108.8 
-173.2, 1.7, -109.6 
-173.0, 1.7, -110.1 
